Iteration,FCFS_Wait_Hrs,XGB_Wait_Hrs,FCFS_BSLD,XGB_BSLD,FCFS_Util_%,XGB_Util_%
1,6.826333476523326,4.146031162283237,6.44728881345357,2.886446745348507,63.124759575706115,69.71495172758071
2,3.1875813108317668,2.1419583780656875,3.6110486662835437,1.797404128707692,58.011570976293626,67.51260882144756
3,5.07870528835537,3.0296884826414807,5.194063715801346,2.358074113310376,58.47410393958232,65.45781922165375
4,7.078028772267901,3.8013473174429273,6.61700644593537,2.716066518977509,58.32896663373142,62.262925465247996
5,4.4787453143465,3.0956572697103937,4.627374746673731,2.539916917907471,56.307311360558096,66.60745597224852
6,6.856471873519255,5.019669741526216,6.7792755378570755,3.4741839804449453,63.348114579801276,68.04744066600631
7,4.572313206514521,2.023334096903283,4.8409100860763585,1.7980994201160738,54.5087829129699,58.06530171871165
8,6.043219799653524,2.736535748808859,5.8890611995039315,2.2248360078366085,58.661017225076826,66.19151646046207
9,6.336421657817139,3.791300825097014,6.163853842436428,2.985254985091157,61.007632289425636,70.35052354996783
10,6.393499778759699,4.402053083813235,6.235756855830685,3.1417165191685394,64.30607329962034,61.13397535504175
11,6.75621917849918,3.6908956685181726,6.363950022304228,2.640130867464564,56.86095371898464,66.6353838680091
12,5.544159275264341,3.4286728007559244,5.521890255835181,2.5218187404295507,61.8567650055748,66.34574455385899
13,8.373123726124774,3.0768680190214326,7.824897786135046,2.339108095179449,59.34244409566733,65.53437278611595
14,6.724873590687013,3.7588760817436224,6.543050192137218,2.8303673291803078,56.89207459102378,68.96811034695773
15,9.703999754413333,9.00583902977377,8.93356020144311,7.686684321236492,61.692830092783424,71.6146895679174
16,7.881267483786806,5.608511530727121,7.451855255537045,3.941261189062075,60.212621774962706,68.65820151104265
17,5.409342868832245,2.4339659762190666,5.425971257763216,1.99816469740471,57.460617810547554,62.25186637809949
18,6.755198868668647,3.1468505494564107,6.5228797362801245,2.090404898343904,56.050011642265055,68.03010400256142
19,7.054446157225004,2.734520922118565,6.927303114622255,2.070471745684948,58.21143506956288,68.32040274843958
20,6.128283633918437,3.1393592723881385,6.09833398844499,2.597574379447378,60.022264872226074,66.8437043734194
21,6.355887895667606,4.365820761421675,6.106100237036313,3.2223549120954047,61.2152173679442,66.56061948630347
22,4.0416404906330605,2.429295680461815,4.452005953187496,2.143218244145507,56.76288147857554,63.19015406319248
23,7.062152281640625,4.46838146533924,6.787027141933753,3.343571709290304,61.367113769002046,68.04254244242341
24,6.814398822980118,3.572054010388869,6.753285580752088,2.4839916548217174,63.555335543467265,66.2480820277139
25,5.3733693500707576,2.758109667884454,5.426662591396278,2.2097945485649206,58.86218341267855,65.33589234257812
26,2.878341851085431,1.759803802717649,3.4104496195022924,1.8540204892012633,58.52342108504257,63.34942597169817
27,4.15877680755519,2.6885662269612847,4.362220902920425,2.2583925006196424,57.661987358569576,65.32190821495097
28,7.101070866165872,4.227381567438918,6.713477568086178,3.093803706305795,62.68568376335099,65.67895345401993
29,8.905016035669078,4.253155346500508,8.231800835436703,2.9767812645041385,63.42442567031233,69.2304013700116
30,6.8056528759610035,4.159734159992768,6.557519341253431,3.2992428230002266,59.93410560553447,63.41454498504358
31,6.214578758948148,2.3066173549620066,5.910266739177858,1.9290101788254215,58.07579490759183,64.93120118071124
32,3.884020816534078,2.2338992903422077,4.224323641884462,1.9045456202056674,56.357162953620396,62.93958436714971
33,7.368250784398658,4.181072140341537,6.890895926652392,3.0249090573934567,58.96513500284048,63.46600845026566
34,5.3308388205267505,3.08143991010512,5.365233187865852,2.60564194979987,55.81873262819498,67.81418677277983
35,9.945945921589926,8.115217912938936,9.115487269824657,5.955593462245624,61.674597801244126,72.81020754186355
36,5.15904607263758,3.0663092075537857,5.15776547376327,2.2873607626371553,58.671688689615294,63.21551274067132
37,4.937067857330916,3.553833102753609,5.185301273401325,2.6154997598920007,61.88996636017634,56.882973244698064
38,8.024418428507559,4.915980764088436,7.6788669731540855,3.4162974631946823,61.46579582555255,69.54441951389406
39,4.948877931255531,2.7008566460994516,5.238757170597774,2.073890776508605,56.55879487012552,60.036107722266706
40,5.402303872109772,2.2235143953341954,5.474490941913142,1.7693063951424606,57.385831875639596,66.85130753576735
41,6.8787772108031,4.636043692137594,6.6737073175072,3.616619487864763,59.57304177829068,63.44233215520697
42,6.6306500105650095,4.155297386501783,6.290326921549148,2.8917048732705206,57.80803354362034,70.91999074278696
43,4.7850320333978535,2.743333676554488,4.752024148395515,2.2620733982594854,61.66600460210929,63.89348675447898
44,3.2523897687125696,1.1333834858640224,3.702803292548626,1.50170923653843,55.62103621834308,63.94339948167449
45,6.212038908270625,4.170897568637528,6.0860319834959276,3.1658752549345808,55.933521093340964,68.10526863716436
46,7.386541221794869,3.4360998369301106,6.828332295514838,2.4025604185126284,57.737985797395076,69.84143758574804
47,8.080618781701359,4.574685207453833,7.535730646834936,3.4028761877036975,58.993334830032694,70.56003107873151
48,6.041691829109326,3.0491294349015634,5.835370575680289,2.373291774983429,59.16500685587689,69.97987733704346
49,6.258183120446247,3.7100594858036486,6.109129877142227,2.732747985761989,62.139454565624504,67.69262600707287
50,3.4781975384206256,1.9435404624859451,3.9281333764563517,1.8397320053703616,53.812302754211295,61.86150305309832
